أهلا	Hello
تحقق من الزاوية التالية	Check the next angle
Check the next angle	تحقق من الزاوية التالية
تحقق من المنطقة الخلفية	Check the back area
Check the back area	تحقق من المنطقة الخلفية
تحقق من السطح	Check the surface
Check the surface	تحقق من السطح
تحقق من المدخل	Check the entry
Check the entry	تحقق من المدخل
تحقق من المخرج	Check the director
Check the director	تحقق من المخرج
تحقق من الساحة	Check the arena
Check the arena	تحقق من الساحة
تحقق من موقف السيارات	Check the parking lot
Check the parking lot	تحقق من موقف السيارات
تحقق من الطريق الجانبي	Check the side road
Check the side road	تحقق من الطريق الجانبي
تحقق من الشارع المقابل	Check the street across the street
Check the street across the street	تحقق من الشارع المقابل
تحقق من المبنى المقابل	Check the building opposite
Check the building opposite	تحقق من المبنى المقابل
تحقق من الباب الخلفي	Check the back door
Check the back door	تحقق من الباب الخلفي
تحقق من الباب الأمامي	Check the front door
Check the front door	تحقق من الباب الأمامي
تحقق من النوافذ	Check windows
Check windows	تحقق من النوافذ
تحقق من السلالم	Check the stairs
Check the stairs	تحقق من السلالم
تحقق من المصعد	Check the elevator
Check the elevator	تحقق من المصعد
المصعد متاح	The elevator is available
The elevator is available	المصعد متاح
المصعد غير متاح	The elevator is not available
The elevator is not available	المصعد غير متاح
استخدم السلالم	Use the stairs
Use the stairs	استخدم السلالم
لا تستخدم المصعد	Do not use the elevator
Do not use the elevator	لا تستخدم المصعد
المصعد متوقف	The elevator is stopped
The elevator is stopped	المصعد متوقف
المصعد يعمل	The elevator is working
The elevator is working	المصعد يعمل
انتظر وصول المصعد	Wait for the elevator to arrive
Wait for the elevator to arrive	انتظر وصول المصعد
وصل المصعد	The elevator arrived
The elevator arrived	وصل المصعد
ادخل المصعد	Enter the elevator
Enter the elevator	ادخل المصعد
اخرج من المصعد	Get out of the elevator
Get out of the elevator	اخرج من المصعد
اضغط زر الطابق	Press the floor button
Press the floor button	اضغط زر الطابق
اختر الطابق المطلوب	Select the desired floor
Select the desired floor	اختر الطابق المطلوب
الطابق الأول	First floor
First floor	الطابق الأول
الطابق الثاني	Second floor
Second floor	الطابق الثاني
الطابق الثالث	Third floor
Third floor	الطابق الثالث
الطابق العلوي	Top floor
Top floor	الطابق العلوي
الطابق السفلي	Basement
Basement	الطابق السفلي
انتقل إلى الطابق العلوي	Go upstairs
Go upstairs	انتقل إلى الطابق العلوي
انتقل إلى الطابق السفلي	Go downstairs
Go downstairs	انتقل إلى الطابق السفلي
ابق في الطابق الحالي	Stay on the current floor
Stay on the current floor	ابق في الطابق الحالي
الطابق مغلق	The floor is closed
The floor is closed	الطابق مغلق
الطابق مفتوح	The floor is open
The floor is open	الطابق مفتوح
الممر مغلق	The corridor is closed
The corridor is closed	الممر مغلق
الممر مفتوح	The corridor is open
The corridor is open	الممر مفتوح
هناك باب آخر	There is another door
There is another door	هناك باب آخر
استخدم الباب الآخر	Use the other door
Use the other door	استخدم الباب الآخر
الباب الخلفي متاح	Back door available
Back door available	الباب الخلفي متاح
الباب الأمامي غير متاح	The front door is unavailable
The front door is unavailable	الباب الأمامي غير متاح
لا يوجد مدخل من هنا	There is no entrance from here
There is no entrance from here	لا يوجد مدخل من هنا
ابحث عن مدخل آخر	Find another entry
Find another entry	ابحث عن مدخل آخر
وجدت مدخلاً آخر	I found another entry
I found another entry	وجدت مدخلاً آخر
المدخل مناسب	The entry is appropriate
The entry is appropriate	المدخل مناسب
المدخل ضيق	The entrance is narrow
The entrance is narrow	المدخل ضيق
المدخل واسع	The entrance is wide
The entrance is wide	المدخل واسع
المدخل مزدحم	The entrance is crowded
The entrance is crowded	المدخل مزدحم
المدخل فارغ	The entry is empty
The entry is empty	المدخل فارغ
انتظر خارج المدخل	Wait outside the entrance
Wait outside the entrance	انتظر خارج المدخل
ادخل بعد الإشارة	Enter after the signal
Enter after the signal	ادخل بعد الإشارة
اخرج بعد الإشارة	Exit after the signal
Exit after the signal	اخرج بعد الإشارة
لا تدخل وحدك	Do not enter alone
Do not enter alone	لا تدخل وحدك
ادخل مع الفريق	Join the team
Join the team	ادخل مع الفريق
الفريق داخل المبنى	The team is inside the building
The team is inside the building	الفريق داخل المبنى
الفريق خارج المبنى	The team is outside the building
The team is outside the building	الفريق خارج المبنى
اجتمع مع الفريق	Meet with the team
Meet with the team	اجتمع مع الفريق
انتظر الفريق	Wait for the team
Wait for the team	انتظر الفريق
الفريق قريب	The team is close
The team is close	الفريق قريب
الفريق بعيد	The team is away
The team is away	الفريق بعيد
الفريق يتحرك نحوك	The team is moving towards you
The team is moving towards you	الفريق يتحرك نحوك
الفريق ابتعد	The team walked away
The team walked away	الفريق ابتعد
اتبع الفريق	Follow the team
Follow the team	اتبع الفريق
لا تتأخر عن الفريق	Don't be late for the team
Don't be late for the team	لا تتأخر عن الفريق
ابق مع المجموعة	Stay with the group
Stay with the group	ابق مع المجموعة
المجموعة تتحرك	The group is moving
The group is moving	المجموعة تتحرك
المجموعة توقفت	The group stopped
The group stopped	المجموعة توقفت
المجموعة وصلت	The group has arrived
The group has arrived	المجموعة وصلت
المجموعة غادرت	The group left
The group left	المجموعة غادرت
انتظر بقية المجموعة	Wait for the rest of the group
Wait for the rest of the group	انتظر بقية المجموعة
لا تترك المجموعة	Do not leave the group
Do not leave the group	لا تترك المجموعة
اجتمع بالجميع	Meet everyone
Meet everyone	اجتمع بالجميع
تأكد من وجود الجميع	Make sure everyone is there
Make sure everyone is there	تأكد من وجود الجميع
الجميع مستعد	Everyone is ready
Everyone is ready	الجميع مستعد
الجميع ينتظر	Everyone is waiting
Everyone is waiting	الجميع ينتظر
الجميع يتحرك	Everyone is moving
Everyone is moving	الجميع يتحرك
الجميع وصل	Everyone has arrived
Everyone has arrived	الجميع وصل
الجميع غادر	Everyone left
Everyone left	الجميع غادر
شخص ما تأخر	Someone is late
Someone is late	شخص ما تأخر
انتظر الشخص المتأخر	Wait for the late person
Wait for the late person	انتظر الشخص المتأخر
لا تنتظر طويلاً	Don't wait too long
Don't wait too long	لا تنتظر طويلاً
واصل الطريق	Continue on the road
Continue on the road	واصل الطريق
تحرك إلى النقطة التالية	Move to the next point
Move to the next point	تحرك إلى النقطة التالية
النقطة التالية قريبة	The next point is close
The next point is close	النقطة التالية قريبة
النقطة التالية بعيدة	The next point is far away
The next point is far away	النقطة التالية بعيدة
النقطة التالية واضحة	The next point is obvious
The next point is obvious	النقطة التالية واضحة
النقطة التالية غير واضحة	The next point is not clear
The next point is not clear	النقطة التالية غير واضحة
تم الوصول إلى النقطة	The point has been reached
The point has been reached	تم الوصول إلى النقطة
لم يتم الوصول إلى النقطة	The point has not been reached
The point has not been reached	لم يتم الوصول إلى النقطة
النقطة غير متاحة	The point is not available
The point is not available	النقطة غير متاحة
اختر نقطة أخرى	Choose another point
Choose another point	اختر نقطة أخرى
حدد نقطة جديدة	Select a new point
Select a new point	حدد نقطة جديدة
ألغ النقطة الحالية	Cancel the current point
Cancel the current point	ألغ النقطة الحالية
النقطة محفوظة	The point is saved
The point is saved	النقطة محفوظة
تم حفظ النقطة	Point saved
Point saved	تم حفظ النقطة
احذف النقطة المحفوظة	Delete the saved point
Delete the saved point	احذف النقطة المحفوظة
لا توجد نقطة محفوظة	No point saved
No point saved	لا توجد نقطة محفوظة
أضف نقطة إلى الخريطة	Add a point to the map
Add a point to the map	أضف نقطة إلى الخريطة
تمت إضافة النقطة	Point added
Point added	تمت إضافة النقطة
تم حذف النقطة	The point has been deleted
The point has been deleted	تم حذف النقطة
غيّر اسم النقطة	Change the name of the point
Change the name of the point	غيّر اسم النقطة
تم تغيير اسم النقطة	The point name has been changed
The point name has been changed	تم تغيير اسم النقطة
النقطة تحتوي على ملاحظة	The point contains a note
The point contains a note	النقطة تحتوي على ملاحظة
أضف ملاحظة للنقطة	Add a note to the point
Add a note to the point	أضف ملاحظة للنقطة
عدّل الملاحظة	Edit note
Edit note	عدّل الملاحظة
احذف الملاحظة	Delete the note
Delete the note	احذف الملاحظة
تم حفظ الملاحظة	The note has been saved
The note has been saved	تم حفظ الملاحظة
الملاحظة غير متاحة	Note not available
Note not available	الملاحظة غير متاحة
لا توجد ملاحظة	No note
No note	لا توجد ملاحظة
اكتب ملاحظة قصيرة	Write a short note
Write a short note	اكتب ملاحظة قصيرة
اكتب ملاحظة واضحة	Write a clear note
Write a clear note	اكتب ملاحظة واضحة
راجع الملاحظة	See note
See note	راجع الملاحظة
الملاحظة جاهزة	The note is ready
The note is ready	الملاحظة جاهزة
تم تحديث الملاحظة	The note has been updated
The note has been updated	تم تحديث الملاحظة
الملاحظة قديمة	The note is old
The note is old	الملاحظة قديمة
استبدل الملاحظة القديمة	Replace the old note
Replace the old note	استبدل الملاحظة القديمة
احتفظ بالملاحظة القديمة	Keep the old note
Keep the old note	احتفظ بالملاحظة القديمة
لا تحذف المعلومات المهمة	Do not delete important information
Do not delete important information	لا تحذف المعلومات المهمة
المعلومات محفوظة	The information is saved
The information is saved	المعلومات محفوظة
المعلومات غير محفوظة	The information is not saved
The information is not saved	المعلومات غير محفوظة
احفظ المعلومات	Save the information
Save the information	احفظ المعلومات
تم حفظ المعلومات	The information has been saved
The information has been saved	تم حفظ المعلومات
تعذر حفظ المعلومات	The information could not be saved
The information could not be saved	تعذر حفظ المعلومات
راجع المعلومات المحفوظة	Review the saved information
Review the saved information	راجع المعلومات المحفوظة
المعلومات محدثة الآن	The information is now updated
The information is now updated	المعلومات محدثة الآن
هناك معلومات جديدة	There is new information
There is new information	هناك معلومات جديدة
اقرأ المعلومات الجديدة	Read the new information
Read the new information	اقرأ المعلومات الجديدة
لا توجد معلومات جديدة	There is no new information
There is no new information	لا توجد معلومات جديدة
المعلومات غير مكتملة	The information is incomplete
The information is incomplete	المعلومات غير مكتملة
أكمل المعلومات	Complete the information
Complete the information	أكمل المعلومات
تم إكمال المعلومات	The information has been completed
The information has been completed	تم إكمال المعلومات
احذف المعلومات غير المطلوبة	Delete unwanted information
Delete unwanted information	احذف المعلومات غير المطلوبة
احتفظ بالمعلومات المهمة	Save important information
Save important information	احتفظ بالمعلومات المهمة
المعلومات المطلوبة جاهزة	The required information is ready
The required information is ready	المعلومات المطلوبة جاهزة
المعلومات غير المطلوبة	Unrequested information
Unrequested information	المعلومات غير المطلوبة
اختر المعلومات المطلوبة	Select the required information
Select the required information	اختر المعلومات المطلوبة
تم تحديد المعلومات	Information has been selected
Information has been selected	تم تحديد المعلومات
ألغ تحديد المعلومات	Deselect the information
Deselect the information	ألغ تحديد المعلومات
حدد كل المعلومات	Select all information
Select all information	حدد كل المعلومات
ألغ تحديد الكل	Deselect all
Deselect all	ألغ تحديد الكل
تم تحديد الكل	All selected
All selected	تم تحديد الكل
لا يوجد عنصر محدد	No item selected
No item selected	لا يوجد عنصر محدد
هناك عنصر محدد	There is an item selected
There is an item selected	هناك عنصر محدد
اختر عنصراً آخر	Choose another item
Choose another item	اختر عنصراً آخر
العنصر الحالي	The current item
The current item	العنصر الحالي
العنصر السابق	Previous item
Previous item	العنصر السابق
العنصر التالي	Next item
Next item	العنصر التالي
انتقل إلى العنصر التالي	Go to the next item
Go to the next item	انتقل إلى العنصر التالي
عد إلى العنصر السابق	Return to the previous item
Return to the previous item	عد إلى العنصر السابق
العنصر التالي غير موجود	The following item does not exist
The following item does not exist	العنصر التالي غير موجود
العنصر السابق غير موجود	The previous item does not exist
The previous item does not exist	العنصر السابق غير موجود
وصلت إلى آخر عنصر	You have reached the last item
You have reached the last item	وصلت إلى آخر عنصر
وصلت إلى أول عنصر	You have reached the first item
You have reached the first item	وصلت إلى أول عنصر
لا توجد عناصر أخرى	There are no other items
There are no other items	لا توجد عناصر أخرى
هناك عناصر إضافية	There are additional items
There are additional items	هناك عناصر إضافية
اعرض العناصر الإضافية	Show additional items
Show additional items	اعرض العناصر الإضافية
أخف العناصر الإضافية	Hide additional items
Hide additional items	أخف العناصر الإضافية
رتب العناصر	Arrange the items
Arrange the items	رتب العناصر
تم ترتيب العناصر	The items are arranged
The items are arranged	تم ترتيب العناصر
الترتيب الحالي	Current ranking
Current ranking	الترتيب الحالي
غيّر ترتيب العناصر	Change the order of the items
Change the order of the items	غيّر ترتيب العناصر
الترتيب الجديد جاهز	The new arrangement is ready
The new arrangement is ready	الترتيب الجديد جاهز
استعد الترتيب السابق	Restore the previous order
Restore the previous order	استعد الترتيب السابق
تمت استعادة الترتيب	The order has been restored
The order has been restored	تمت استعادة الترتيب
الترتيب غير صحيح	The order is incorrect
The order is incorrect	الترتيب غير صحيح
صحح الترتيب	Correct the order
Correct the order	صحح الترتيب
تم تصحيح الترتيب	The order has been corrected
The order has been corrected	تم تصحيح الترتيب
حافظ على الترتيب	Maintain order
Maintain order	حافظ على الترتيب
لا تغير الترتيب	Do not change the order
Do not change the order	لا تغير الترتيب
العنصر في مكانه الصحيح	The item is in the correct place
The item is in the correct place	العنصر في مكانه الصحيح
العنصر في مكان خاطئ	The item is in the wrong place
The item is in the wrong place	العنصر في مكان خاطئ
انقل العنصر إلى مكانه	Move the item into place
Move the item into place	انقل العنصر إلى مكانه
تم نقل العنصر إلى مكانه	The item has been moved to its place
The item has been moved to its place	تم نقل العنصر إلى مكانه
المكان محجوز لعنصر آخر	The place is reserved for another item
The place is reserved for another item	المكان محجوز لعنصر آخر
اختر مكاناً آخر	Choose another location
Choose another location	اختر مكاناً آخر
المكان الجديد متاح	The new location is available
The new location is available	المكان الجديد متاح
المكان الجديد غير متاح	The new location is not available
The new location is not available	المكان الجديد غير متاح
المكان غير مناسب	The place is not suitable
The place is not suitable	المكان غير مناسب
ابحث عن مكان مناسب	Find a suitable place
Find a suitable place	ابحث عن مكان مناسب
وجدت مكاناً مناسباً	I found a suitable place
I found a suitable place	وجدت مكاناً مناسباً
ضع العنصر في المكان المناسب	Place the item in the appropriate place
Place the item in the appropriate place	ضع العنصر في المكان المناسب
تم وضع العنصر	The item has been placed
The item has been placed	تم وضع العنصر
تعذر وضع العنصر	The item could not be placed
The item could not be placed	تعذر وضع العنصر
العنصر خرج من مكانه	The item is out of place
The item is out of place	العنصر خرج من مكانه
أعد العنصر إلى مكانه	Put the item back in place
Put the item back in place	أعد العنصر إلى مكانه
تمت إعادة العنصر	The item has been returned
The item has been returned	تمت إعادة العنصر
العنصر مفقود	The item is missing
The item is missing	العنصر مفقود
ابحث عن العنصر المفقود	Find the missing item
Find the missing item	ابحث عن العنصر المفقود
العنصر لم يعد موجوداً	The item no longer exists
The item no longer exists	العنصر لم يعد موجوداً
تم العثور عليه	was found
was found	تم العثور عليه
احمله بحذر	Carry with caution
Carry with caution	احمله بحذر
ضعه بحذر	Place it carefully
Place it carefully	ضعه بحذر
لا تسقطه	Don't drop it
Don't drop it	لا تسقطه
لا تحركه الآن	Don't move it now
Don't move it now	لا تحركه الآن
اتركه في مكانه	Leave it in place
Leave it in place	اتركه في مكانه
يمكنك تحريكه الآن	You can move it now
You can move it now	يمكنك تحريكه الآن
العنصر يتحرك	The item is moving
The item is moving	العنصر يتحرك
العنصر ثابت	The element is fixed
The element is fixed	العنصر ثابت
العنصر عالق	The item is stuck
The item is stuck	العنصر عالق
حرر العنصر	Edit the item
Edit the item	حرر العنصر
تم تحرير العنصر	The item has been edited
The item has been edited	تم تحرير العنصر
العنصر يحتاج إلى مساحة	The element needs space
The element needs space	العنصر يحتاج إلى مساحة
وفر مساحة للعنصر	Save space for the item
Save space for the item	وفر مساحة للعنصر
المساحة متوفرة	Space is available
Space is available	المساحة متوفرة
المساحة غير متوفرة	Space is not available
Space is not available	المساحة غير متوفرة
انقل بعض العناصر	Move some items
Move some items	انقل بعض العناصر
تم توفير مساحة إضافية	Additional space has been provided
Additional space has been provided	تم توفير مساحة إضافية
المساحة ممتلئة	The space is full
The space is full	المساحة ممتلئة
المساحة شبه ممتلئة	The space is almost full
The space is almost full	المساحة شبه ممتلئة
المساحة فارغة	The space is empty
The space is empty	المساحة فارغة
أفرغ المكان	Empty the place
Empty the place	أفرغ المكان
تم إفراغ المكان	The place has been emptied
The place has been emptied	تم إفراغ المكان
لا يوجد مكان كاف	There is not enough space
There is not enough space	لا يوجد مكان كاف
اختر مكاناً أكبر	Choose a larger place
Choose a larger place	اختر مكاناً أكبر
المكان أكبر من المطلوب	The place is larger than desired
The place is larger than desired	المكان أكبر من المطلوب
المكان أصغر من المطلوب	The place is smaller than desired
The place is smaller than desired	المكان أصغر من المطلوب
استخدم المكان المتاح	Use the available space
Use the available space	استخدم المكان المتاح
لا تهدر المساحة	Don't waste space
Don't waste space	لا تهدر المساحة
المخزون ممتلئ	The inventory is full
The inventory is full	المخزون ممتلئ
المخزون شبه ممتلئ	The inventory is almost full
The inventory is almost full	المخزون شبه ممتلئ
المخزون فارغ	The inventory is empty
The inventory is empty	المخزون فارغ
افتح المخزون	Open the inventory
Open the inventory	افتح المخزون
أغلق المخزون	Close inventory
Close inventory	أغلق المخزون
اعرض المخزون	Show inventory
Show inventory	اعرض المخزون
أخف المخزون	Hide inventory
Hide inventory	أخف المخزون
أضف العنصر إلى المخزون	Add the item to inventory
Add the item to inventory	أضف العنصر إلى المخزون
تمت إضافة العنصر إلى المخزون	The item has been added to inventory
The item has been added to inventory	تمت إضافة العنصر إلى المخزون
أزل العنصر من المخزون	Remove the item from the inventory
Remove the item from the inventory	أزل العنصر من المخزون
تمت إزالة العنصر من المخزون	The item has been removed from inventory
The item has been removed from inventory	تمت إزالة العنصر من المخزون
العنصر موجود في المخزون	The item is in stock
The item is in stock	العنصر موجود في المخزون
العنصر غير موجود في المخزون	The item is not in stock
The item is not in stock	العنصر غير موجود في المخزون
المخزون لا يحتوي على هذا العنصر	The inventory does not contain this item
The inventory does not contain this item	المخزون لا يحتوي على هذا العنصر
ابحث في المخزون	Search inventory
Search inventory	ابحث في المخزون
رتب المخزون	Arrange inventory
Arrange inventory	رتب المخزون
تم ترتيب المخزون	The inventory has been arranged
The inventory has been arranged	تم ترتيب المخزون
المخزون يحتاج إلى تنظيم	Inventory needs to be organized
Inventory needs to be organized	المخزون يحتاج إلى تنظيم
نظم المخزون	Inventory systems
Inventory systems	نظم المخزون
احذف العناصر غير المطلوبة	Delete unwanted items
Delete unwanted items	احذف العناصر غير المطلوبة
احتفظ بالعناصر المهمة	Keep important items
Keep important items	احتفظ بالعناصر المهمة
العنصر قابل للاستخدام	The item is usable
The item is usable	العنصر قابل للاستخدام
العنصر غير قابل للاستخدام	The item is unusable
The item is unusable	العنصر غير قابل للاستخدام
استخدم العنصر	Use the item
Use the item	استخدم العنصر
تعذر استخدام العنصر	The item could not be used
The item could not be used	تعذر استخدام العنصر
العنصر مستخدم حالياً	The item is currently in use
The item is currently in use	العنصر مستخدم حالياً
العنصر غير مستخدم	The item is not used
The item is not used	العنصر غير مستخدم
أوقف استخدام العنصر	Stop using the item
Stop using the item	أوقف استخدام العنصر
تم إيقاف استخدام العنصر	The item has been deprecated
The item has been deprecated	تم إيقاف استخدام العنصر
العنصر يحتاج إلى شحن	The item needs to be shipped
The item needs to be shipped	العنصر يحتاج إلى شحن
اشحن العنصر	Ship the item
Ship the item	اشحن العنصر
العنصر مشحون	The item is charged
The item is charged	العنصر مشحون
البطارية ممتلئة	The battery is full
The battery is full	البطارية ممتلئة
البطارية منخفضة	The battery is low
The battery is low	البطارية منخفضة
البطارية شبه فارغة	The battery is almost empty
The battery is almost empty	البطارية شبه فارغة
اشحن البطارية قبل المتابعة	Charge the battery before continuing
Charge the battery before continuing	اشحن البطارية قبل المتابعة
لا توجد طاقة كافية	There is not enough power
There is not enough power	لا توجد طاقة كافية
الطاقة متوفرة	Power is available
Power is available	الطاقة متوفرة
الطاقة منخفضة	The power is low
The power is low	الطاقة منخفضة
الطاقة ممتلئة	The power is full
The power is full	الطاقة ممتلئة
استخدم الطاقة بحكمة	Use energy wisely
Use energy wisely	استخدم الطاقة بحكمة
تم استهلاك الطاقة	Power has been consumed
Power has been consumed	تم استهلاك الطاقة
بقيت طاقة قليلة	Little energy remained
Little energy remained	بقيت طاقة قليلة
أعد شحن الجهاز	Recharge the device
Recharge the device	أعد شحن الجهاز
الجهاز قيد الشحن	The device is charging
The device is charging	الجهاز قيد الشحن
الجهاز اكتمل شحنه	The device has completed charging
The device has completed charging	الجهاز اكتمل شحنه
تعذر شحن الجهاز	The device could not be charged
The device could not be charged	تعذر شحن الجهاز
الشحن متوقف	Shipping has stopped
Shipping has stopped	الشحن متوقف
استأنف الشحن	Resumed charging
Resumed charging	استأنف الشحن
افصل الشاحن بعد اكتمال الشحن	Unplug the charger after charging is complete
Unplug the charger after charging is complete	افصل الشاحن بعد اكتمال الشحن
الجهاز يعمل بشكل طبيعي	The device is working normally
The device is working normally	الجهاز يعمل بشكل طبيعي
الجهاز لا يستجيب	The device is not responding
The device is not responding	الجهاز لا يستجيب
أعد تشغيل الجهاز	Restart the device
Restart the device	أعد تشغيل الجهاز
أوقف تشغيل الجهاز	Turn off the device
Turn off the device	أوقف تشغيل الجهاز
شغّل الجهاز	Turn on the device
Turn on the device	شغّل الجهاز
الجهاز قيد التشغيل	The device is on
The device is on	الجهاز قيد التشغيل
الجهاز قيد الإيقاف	The device is turned off
The device is turned off	الجهاز قيد الإيقاف
انتظر حتى يعمل الجهاز	Wait for the device to turn on
Wait for the device to turn on	انتظر حتى يعمل الجهاز
الجهاز جاهز	The device is ready
The device is ready	الجهاز جاهز
الجهاز غير جاهز	The device is not ready
The device is not ready	الجهاز غير جاهز
الجهاز يحتاج إلى تحديث	The device needs to be updated
The device needs to be updated	الجهاز يحتاج إلى تحديث
الجهاز محدث	The device is up to date
The device is up to date	الجهاز محدث
لا يوجد تحديث جديد	There is no new update
There is no new update	لا يوجد تحديث جديد
تحقق من الإصدار	Check version
Check version	تحقق من الإصدار
الإصدار الحالي	Current version
Current version	الإصدار الحالي
الإصدار السابق	Previous version
Previous version	الإصدار السابق
الإصدار الجديد	New version
New version	الإصدار الجديد
الإصدار غير معروف	Version unknown
Version unknown	الإصدار غير معروف
الإصدار غير متوافق	Version incompatible
Version incompatible	الإصدار غير متوافق
اختر إصداراً متوافقاً	Choose a compatible version
Choose a compatible version	اختر إصداراً متوافقاً
تم اختيار الإصدار	Version selected
Version selected	تم اختيار الإصدار
الإصدار جاهز	The version is ready
The version is ready	الإصدار جاهز
ثبت الإصدار المطلوب	Install the required version
Install the required version	ثبت الإصدار المطلوب
تم تثبيت الإصدار	Version installed
Version installed	تم تثبيت الإصدار
تعذر تثبيت الإصدار	Unable to install version
Unable to install version	تعذر تثبيت الإصدار
احذف الإصدار القديم	Delete the old version
Delete the old version	احذف الإصدار القديم
الإصدار القديم محفوظ	The old version is preserved
The old version is preserved	الإصدار القديم محفوظ
لا تحذف الإصدار الحالي	Do not delete the current version
Do not delete the current version	لا تحذف الإصدار الحالي
قارن بين الإصدارات	Compare versions
Compare versions	قارن بين الإصدارات
الإصداران متوافقان	The two versions are compatible
The two versions are compatible	الإصداران متوافقان
الإصداران مختلفان	The two versions are different
The two versions are different	الإصداران مختلفان
الإصدار الجديد أفضل توافقاً	The new version is better compatible
The new version is better compatible	الإصدار الجديد أفضل توافقاً
الإصدار القديم غير مدعوم	The old version is not supported
The old version is not supported	الإصدار القديم غير مدعوم
الدعم متاح	Support is available
Support is available	الدعم متاح
الدعم غير متاح	Support is not available
Support is not available	الدعم غير متاح
هذه الميزة مدعومة	This feature is supported
This feature is supported	هذه الميزة مدعومة
هذه الميزة غير مدعومة	This feature is not supported
This feature is not supported	هذه الميزة غير مدعومة
النظام يدعم هذه العملية	The system supports this process
The system supports this process	النظام يدعم هذه العملية
النظام لا يدعم هذه العملية	The system does not support this operation
The system does not support this operation	النظام لا يدعم هذه العملية
استخدم طريقة متوافقة	Use a compatible method
Use a compatible method	استخدم طريقة متوافقة
اختر نظاماً آخر	Choose another system
Choose another system	اختر نظاماً آخر
النظام الحالي	The current system
The current system	النظام الحالي
النظام الجديد	The new system
The new system	النظام الجديد
النظام جاهز	The system is ready
The system is ready	النظام جاهز
النظام يحتاج إلى إعادة تشغيل	The system needs to be rebooted
The system needs to be rebooted	النظام يحتاج إلى إعادة تشغيل
أعد تشغيل النظام	Restart the system
Restart the system	أعد تشغيل النظام
تمت إعادة تشغيل النظام	The system has rebooted
The system has rebooted	تمت إعادة تشغيل النظام
تعذر إعادة تشغيل النظام	The system could not be restarted
The system could not be restarted	تعذر إعادة تشغيل النظام
النظام يعمل	The system is working
The system is working	النظام يعمل
النظام متوقف	The system is down
The system is down	النظام متوقف
النظام مشغول	The system is busy
The system is busy	النظام مشغول
انتظر حتى يصبح النظام جاهزاً	Wait until the system is ready
Wait until the system is ready	انتظر حتى يصبح النظام جاهزاً
النظام أصبح جاهزاً	The system is ready
The system is ready	النظام أصبح جاهزاً
هناك عملية تعمل في الخلفية	There is a process running in the background
There is a process running in the background	هناك عملية تعمل في الخلفية
انتظر انتهاء العملية الخلفية	Wait for the background process to finish
Wait for the background process to finish	انتظر انتهاء العملية الخلفية
العملية الخلفية اكتملت	The background process has completed
The background process has completed	العملية الخلفية اكتملت
العملية الخلفية فشلت	The background process failed
The background process failed	العملية الخلفية فشلت
أوقف العملية الخلفية	Stop the background process
Stop the background process	أوقف العملية الخلفية
لا توقف العملية الأساسية	Do not stop the underlying process
Do not stop the underlying process	لا توقف العملية الأساسية
المعالجة مستمرة	Processing is ongoing
Processing is ongoing	المعالجة مستمرة
المعالجة اكتملت	Processing completed
Processing completed	المعالجة اكتملت
المعالجة فشلت	Processing failed
Processing failed	المعالجة فشلت
جاري تحليل البيانات	Data is being analyzed
Data is being analyzed	جاري تحليل البيانات
اكتمل تحليل البيانات	Data analysis has been completed
Data analysis has been completed	اكتمل تحليل البيانات
تعذر تحليل البيانات	Unable to parse the data
Unable to parse the data	تعذر تحليل البيانات
البيانات تحتاج إلى تحليل	The data needs to be analyzed
The data needs to be analyzed	البيانات تحتاج إلى تحليل
ابدأ التحليل	Start analysis
Start analysis	ابدأ التحليل
أوقف التحليل	Stop the analysis
Stop the analysis	أوقف التحليل
أعد التحليل	Reanalyse
Reanalyse	أعد التحليل
تم العثور على نتائج التحليل	Analysis results found
Analysis results found	تم العثور على نتائج التحليل
لا توجد نتائج كافية	There are not enough results
There are not enough results	لا توجد نتائج كافية
النتائج غير مكتملة	The results are incomplete
The results are incomplete	النتائج غير مكتملة
راجع نتائج التحليل	Review the analysis results
Review the analysis results	راجع نتائج التحليل
النتائج جاهزة	The results are ready
The results are ready	النتائج جاهزة
النتائج محفوظة	Results saved
Results saved	النتائج محفوظة
احفظ نتائج التحليل	Save the analysis results
Save the analysis results	احفظ نتائج التحليل
احذف نتائج التحليل	Delete the analysis results
Delete the analysis results	احذف نتائج التحليل
تم حذف النتائج	Results deleted
Results deleted	تم حذف النتائج
لا توجد نتائج محفوظة	There are no saved results
There are no saved results	لا توجد نتائج محفوظة
اعرض النتائج السابقة	Show previous results
Show previous results	اعرض النتائج السابقة
اعرض النتائج الجديدة	Show new results
Show new results	اعرض النتائج الجديدة
قارن النتائج السابقة والجديدة	Compare previous and new results
Compare previous and new results	قارن النتائج السابقة والجديدة
النتيجة الجديدة أفضل	The new result is better
The new result is better	النتيجة الجديدة أفضل
النتيجة السابقة أفضل	The previous result is better
The previous result is better	النتيجة السابقة أفضل
لا يوجد فرق واضح	There is no obvious difference
There is no obvious difference	لا يوجد فرق واضح
هناك فرق كبير	There is a big difference
There is a big difference	هناك فرق كبير
راجع الفرق	See the difference
See the difference	راجع الفرق
تم تحديد الفرق	Teams selected
Teams selected	تم تحديد الفرق
الفرق غير مهم	The difference is not significant
The difference is not significant	الفرق غير مهم
الفرق مهم	The difference is important
The difference is important	الفرق مهم
احتفظ بالنتيجة الأفضل	Keep the best score
Keep the best score	احتفظ بالنتيجة الأفضل
